gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
PIAS4,0.702279182702712,0.3763684517178616,0.702279182702712,0.06679050295674217,9.89924209017329,5,0.8274682445010958,0.5015575135162454,0.8274682445010958,JUMP-CP_ORF
PIBF1,0.8954138415700064,0.3627346893907969,0.8954138415700064,0.09463131714730762,12.52754094656697,5,1.0538412326223352,0.5211620804431257,1.0538412326223352,JUMP-CP_ORF
PICALM,0.8582332398287383,0.36970520755854647,0.8582332398287383,0.08126746817268307,12.388296115244643,5,1.0148996950806568,0.5263716628104649,1.0148996950806568,JUMP-CP_ORF
PID1,0.9430561032348931,0.4149333036219469,0.9430561032348931,0.06635590836472781,11.623260752551513,5,1.090047670406924,0.5619248707939777,1.090047670406924,JUMP-CP_ORF
PIEZO1,0.8914054929801146,0.37685396852109443,0.8914054929801146,0.03926138596282141,11.929155965234404,5,1.0422655113260388,0.5277139868670188,1.0422655113260388,JUMP-CP_ORF
PIFO,0.9274652952722658,0.39872405077051765,0.9274652952722658,0.027539442632124746,12.11502568146814,5,1.0806758830032073,0.5519346385014591,1.0806758830032073,JUMP-CP_ORF
PIGA,0.8934037380197887,0.3868965174546426,0.8934037380197887,0.11708252703318818,12.3959773500409,5,1.0501673326859002,0.5436601121207542,1.0501673326859002,JUMP-CP_ORF
PIGB,0.9570544769316823,0.4189184454829553,0.9570544769316823,0.12363876833904623,13.990345487223035,5,1.133980973912629,0.5958449424639021,1.133980973912629,JUMP-CP_ORF
PIGC,0.9087966136389225,0.41657790367916747,0.9087966136389225,0.9657668137159228,21.892394167235913,5,1.1856550096000924,0.6934362996403374,1.1856550096000924,JUMP-CP_ORF
PIGF,0.9265502922095836,0.7094445532015272,0.9004667652014641,0.20701944334309708,16.223533012323333,10,1.1317184109773826,0.914612671969326,1.105634883969263,JUMP-CP_ORF
PIGG,0.8991040760098894,0.3907826909400334,0.8991040760098894,0.053878532005193144,12.830420915805584,5,1.0613617864787062,0.5530404014088501,1.0613617864787062,JUMP-CP_ORF
PIGH,0.7645670317859774,0.31191537462966024,0.7645670317859773,0.0555459888086055,12.63771453861656,5,0.9243877142133436,0.4717360570570265,0.9243877142133435,JUMP-CP_ORF
PIGK,0.9697286418005837,0.7683032177890738,0.9409520578572351,0.16294558130809292,11.459472969854385,10,1.1146488949605806,0.9132234709490707,1.0858723110172321,JUMP-CP_ORF
PIGN,0.6758758391462174,0.30260947332558663,0.6758758391462174,0.06021052692716211,15.594892028039414,5,0.8730939578722313,0.49982759205160054,0.8730939578722313,JUMP-CP_ORF
PIGO,0.9612441268434465,0.731513588371314,0.9357305719667749,0.2015123438392683,12.567639625371616,10,1.1201786189377723,0.8904480804656398,1.0946650640611009,JUMP-CP_ORF
PIGP,0.8763132110919171,0.37898146054551796,0.8763132110919171,0.063664472450544,12.666531600352087,5,1.0364983235321668,0.5391665729857675,1.0364983235321668,JUMP-CP_ORF
PIGQ,0.8687955212086796,0.39317308533071055,0.8687955212086796,0.04343597759376507,13.644732705464534,5,1.041351285612349,0.5657288497343798,1.041351285612349,JUMP-CP_ORF
PIGR,0.8684347293962456,0.39735027768602305,0.8684347293962456,0.09797564012980546,12.734057879765986,5,1.029473801310317,0.5583893496000947,1.029473801310317,JUMP-CP_ORF
PIGT,0.8401329273156362,0.34649132120316894,0.8401329273156362,0.06883818124771013,12.908563181338408,5,1.0033788505001078,0.5097372443876406,1.0033788505001078,JUMP-CP_ORF
PIGV,0.3930680360180112,0.1647177217754503,0.40819847505550677,0.1749576966880293,19.668945543492185,5,0.6418079715326286,0.41345765729006767,0.6569384105701241,JUMP-CP_ORF
PIGX,0.9292481308910774,0.40158543200703345,0.9292481308910773,0.20600736650324503,12.780875865664179,5,1.0908792784081593,0.5632165795241154,1.0908792784081593,JUMP-CP_ORF
PIGY,0.9287106929120515,0.48001977771000093,0.9287106929120515,0.18510688238409212,12.976495712799078,5,1.0928157131669538,0.6441247979649031,1.0928157131669538,JUMP-CP_ORF
PIGZ,0.34297462138058254,0.1286079195861619,0.3535153531862274,0.23032520015853744,23.80895552164766,5,0.644070480740695,0.4297037789462743,0.6546112125463398,JUMP-CP_ORF
PIH1D1,0.7759085378981296,0.3535680536641197,0.7759085378981296,0.022184060775792342,12.203541612486012,5,0.9302385271203567,0.5078980428863468,0.9302385271203567,JUMP-CP_ORF
PIH1D2,0.8798931567788153,0.3894720661182025,0.8798931567788153,0.06769148263178039,10.671639088340076,5,1.014850204313438,0.5244291136528252,1.014850204313438,JUMP-CP_ORF
PIH1D3,0.8242127078591795,0.3451906442242914,0.8242127078591795,0.19854500867663977,13.455642329645482,5,0.994377173360543,0.5153551097256548,0.994377173360543,JUMP-CP_ORF
PIK3AP1,0.9604453862495893,0.4026121019584115,0.9604453862495893,0.9042411135248067,19.21127770684231,5,1.2033975042157938,0.6455642199246159,1.2033975042157938,JUMP-CP_ORF
PIK3C2G,0.7899651111876578,0.34279170702402595,0.7899651111876578,0.13694338458986746,10.83889858448503,5,0.9270373771610783,0.47986397299744643,0.9270373771610783,JUMP-CP_ORF
PIK3C3,0.821393736579018,0.35139102477769363,0.821393736579018,0.0397267913315039,10.577124045528851,5,0.9551555158872866,0.4851528040859623,0.9551555158872866,JUMP-CP_ORF
PIK3CA,0.8585031893775429,0.3783264276068219,0.8585031893775429,0.49281285343711984,14.94257594688016,5,1.0474719050227503,0.5672951432520292,1.0474719050227503,JUMP-CP_ORF
PIK3CB,0.7264207194142458,0.5474630616772002,0.7242476859807278,0.04700214522173728,12.512679284101512,10,0.88466016500935,0.7057025072723043,0.8824871315758319,JUMP-CP_ORF
PIK3CD,0.8710936271059619,0.6658349564465359,0.8545012077357814,0.13855725027738236,11.347831993225174,10,1.014602031864318,0.809343361204892,0.9980096124941376,JUMP-CP_ORF
PIK3CG,0.7893509709485702,0.608594601654538,0.7743869844555282,0.11304904242089134,11.5885492563213,10,0.9359035651560957,0.7551471958620636,0.9209395786630538,JUMP-CP_ORF
PIK3IP1,0.7810881784990854,0.35479505365844244,0.7810881784990854,0.40535757056885324,15.04014138876224,5,0.9712907387176352,0.5449976138769922,0.9712907387176352,JUMP-CP_ORF
PIK3R1,0.783471701650478,0.5858330986677494,0.775563843800563,0.3588119294365676,15.307256755050446,10,0.9770522903880743,0.7794136874053457,0.9691444325381593,JUMP-CP_ORF
PIK3R2,0.8680766288138142,0.6710257103697981,0.8522001937893452,0.06910561464551959,11.250776862580178,10,1.0103576425620822,0.8133067241180659,0.994481207537613,JUMP-CP_ORF
PIK3R3,0.7631965151040865,0.5817074733927251,0.7517379857361769,0.11272076969109222,13.937035264400171,10,0.9394488335248299,0.7579597918134685,0.9279903041569203,JUMP-CP_ORF
PIK3R4,0.9455044055786137,0.7490043958915644,0.9175386465811981,0.24112956553316742,12.739477203341046,10,1.1066120120358114,0.9101120023487621,1.0786462530383958,JUMP-CP_ORF
PIK3R5,0.9526161531592116,0.7518545763725257,0.9246868975926544,0.19810322265693384,11.232650299560262,10,1.094667932447162,0.8939063556604762,1.0667386768806049,JUMP-CP_ORF
PIKFYVE,0.9634062847409796,0.7493549149223375,0.9381912127707744,0.23596433707487077,11.378572015304464,10,1.1073034378993358,0.8932520680806937,1.0820883659291307,JUMP-CP_ORF
PILRA,0.928091808765424,0.48790322926577645,0.928091808765424,0.12296006780693038,10.966034089569547,5,1.0667718720285575,0.62658329252891,1.0667718720285575,JUMP-CP_ORF
PILRB,0.8743720206563075,0.3908277993250999,0.8743720206563075,0.08936945390194975,12.556154562612786,5,1.0331612688806102,0.5496170475494027,1.0331612688806102,JUMP-CP_ORF
PIM1,0.6886665288221905,0.4873133787247868,0.701906352176342,0.3201073783667366,17.73773222861066,10,0.9129837074408471,0.7116305573434434,0.9262235307949986,JUMP-CP_ORF
PIM2,0.7529243665315433,0.318102326325,0.7529243665315432,0.07542009611208851,10.138712004892797,5,0.8811418434024743,0.446319803195931,0.8811418434024741,JUMP-CP_ORF
PIM3,0.792452826594194,0.6126967032832766,0.7813086926572773,0.40017109972891624,13.095742411062753,10,0.9580658797007225,0.7783097563898052,0.9469217457638058,JUMP-CP_ORF
PIMREG,0.8640925935562843,0.6728306883411443,0.8408932954898249,0.15138045778473697,13.024328682434646,10,1.0288025252313902,0.8375406200162502,1.0056032271649307,JUMP-CP_ORF
PIN1,0.9167301267349324,0.38118589277654014,0.9167301267349324,0.1162286213911187,11.044063159370799,5,1.0563969712033783,0.520852737244986,1.0563969712033783,JUMP-CP_ORF
PIN4,0.804944771104682,0.3618900312309872,0.8049447711046819,0.10955116805856054,15.474897014897692,5,1.0006453935437216,0.5575906536700269,1.0006453935437216,JUMP-CP_ORF
PINK1,0.7618151489830033,0.3234766523787419,0.7618151489830033,0.06474587971823095,12.297567218632622,5,0.9173342168550195,0.4789957202507581,0.9173342168550195,JUMP-CP_ORF
PINX1,0.7592844505357365,0.325122417105707,0.7783074414441198,0.04906108247380417,16.47168434724428,5,0.9675907724629073,0.5334287390328778,0.9866137633712906,JUMP-CP_ORF
PIP,0.8927210528356688,0.6937398568222957,0.8633800223605521,0.034828722516762486,12.35736666870994,10,1.0489963641638047,0.8500151681504315,1.019655333688688,JUMP-CP_ORF
PIP4K2A,0.5576474351106031,0.3829098957479662,0.5911417003687927,0.15346716032123078,16.850845140473915,10,0.7707487487697438,0.5960112094071068,0.8042430140279333,JUMP-CP_ORF
PIP4K2B,0.9172070306714974,0.7074912499794646,0.889532910537084,0.13895332653802323,14.312829973941641,10,1.0982117722260274,0.8884959915339945,1.070537652091614,JUMP-CP_ORF
PIP4K2C,0.6250860077578124,0.2861529085220381,0.6250860077578124,0.07045419753848906,13.548367950190642,5,0.7964231118647359,0.4574900126289616,0.7964231118647359,JUMP-CP_ORF
PIP4P1,0.9787911024794061,0.7693756008715222,0.9533878049420355,0.20478602934494924,13.110541106691477,10,1.144591304743893,0.9351758031360089,1.1191880072065221,JUMP-CP_ORF
PIP4P2,0.9247069133769951,0.39458842484456824,0.9247069133769951,0.09433337755506631,11.935860364159955,5,1.0756517177503513,0.5455332292179245,1.0756517177503513,JUMP-CP_ORF
PIP5K1A,0.6216723835472999,0.4702339227723391,0.6661050314548019,0.23497221785753306,19.454591593949075,15,0.8677015287214408,0.71626306794648,0.9121341766289428,JUMP-CP_ORF
PIP5K1B,0.9712084794822566,0.7797429662150406,0.9366090592575789,0.13397052520724698,11.349085553245914,10,1.1147327371717235,0.9232672239045074,1.0801333169470457,JUMP-CP_ORF
PIP5KL1,0.8747484395349449,0.6817045231339736,0.8515311418616224,0.09067192434206972,12.231937795819267,10,1.0294375362037584,0.8363936198027873,1.0062202385304362,JUMP-CP_ORF
PIPOX,0.8806575482998301,0.35464084131657336,0.8806575482998301,0.08789442575065443,9.873698563376161,5,1.0055235782816743,0.4795068712984176,1.0055235782816743,JUMP-CP_ORF
PIPSL,0.9058841064697933,0.3595014477204235,0.9058841064697933,0.10023336624253869,12.345597460385056,5,1.062010580529896,0.5156279217805261,1.062010580529896,JUMP-CP_ORF
PISD,0.812913774380112,0.33998592735376937,0.812913774380112,0.0954611539226568,14.135819513787666,5,0.9916799836072859,0.5187521365809433,0.9916799836072859,JUMP-CP_ORF
PITHD1,0.8978735677067605,0.3840422815100446,0.8978735677067605,0.040024217605357695,11.464580853528792,5,1.0428584168387673,0.5290271306420513,1.0428584168387673,JUMP-CP_ORF
PITPNA,0.9142447857041628,0.7069376448508164,0.8919263478189318,0.34018427136113744,14.321910193332087,10,1.0953643586908428,0.8880572178374964,1.0730459208056118,JUMP-CP_ORF
PITPNB,0.9247339819165514,0.696778666295256,0.9071014055334458,0.17504259980629397,14.829054637524482,10,1.1122670698558288,0.8843117542345333,1.0946344934727232,JUMP-CP_ORF
PITPNC1,0.8783118583690038,0.35734215343514375,0.8783118583690038,0.05894371653526294,12.26518801564993,5,1.0334214482217678,0.5124517432879077,1.0334214482217678,JUMP-CP_ORF
PITPNM3,0.8903824358274367,0.4033872005315282,0.8903824358274367,0.10103632443225478,11.273841100972543,5,1.0329551274980275,0.545959892202119,1.0329551274980275,JUMP-CP_ORF
PITRM1,0.9084955877551489,0.6995463362316828,0.8875428795770752,0.12076920892972912,11.50879113998902,10,1.0540395346679126,0.8450902831444466,1.033086826489839,JUMP-CP_ORF
PITX1,0.7878314592825317,0.3158741379979133,0.7878314592825317,0.06728900862724857,12.099267592845539,5,0.9408427650570941,0.46888544377247565,0.9408427650570941,JUMP-CP_ORF
PITX2,0.8528723486488127,0.35158518219996737,0.8528723486488127,0.10875004951513169,11.874231225023015,5,1.0030377707181788,0.5017506042693335,1.0030377707181788,JUMP-CP_ORF
PIWIL1,0.8323539567105187,0.349847946200623,0.8323539567105187,0.072046702750271,11.682982419592804,5,0.9801007836688878,0.49759477315899203,0.9801007836688878,JUMP-CP_ORF
PIWIL2,0.9217694984439736,0.36855987694722114,0.9217694984439736,0.07755734499457016,11.73708341472069,5,1.0702005043284386,0.5169908828316861,1.0702005043284386,JUMP-CP_ORF
PIWIL4,0.9144095297988905,0.3986050523359683,0.9144095297988905,0.1411391275640435,11.941613732972424,5,1.0654270931609906,0.5496226156980686,1.0654270931609906,JUMP-CP_ORF
PJA1,0.6896543710404005,0.3716399175112982,0.6896543710404005,0.017951481645452384,12.258487158033024,5,0.844679219650283,0.5266647661211807,0.844679219650283,JUMP-CP_ORF
PJA2,0.8237586307141994,0.3778542948814817,0.8237586307141994,0.40179327702539314,19.70561776751137,5,1.0729623351999362,0.6270579993672185,1.0729623351999362,JUMP-CP_ORF
PJVK,0.9929713428791574,0.3984018190811256,0.9929713428791574,0.1524426562611043,13.381979087539964,5,1.1622042388639646,0.5676347150659328,1.1622042388639646,JUMP-CP_ORF
