gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
EYA4,1.002198680093685,0.572517294854063,1.002198680093685,0.08808998712741692,5.324417779619018,5,1.0536235139148622,0.6239421286752402,1.0536235139148622,JUMP-CP_CRISPR
EZH1,0.9487386122006822,0.4837205452747002,0.9487386122006822,0.22607572253144362,5.129990736590889,5,0.9982856109623461,0.5332675440363641,0.9982856109623461,JUMP-CP_CRISPR
EZH2,0.8197877641584119,0.3282589827204049,0.8197877641584119,0.0996399685657906,4.296124660133209,5,0.8612810326934404,0.3697522512554333,0.8612810326934404,JUMP-CP_CRISPR
F10,0.8374105437291344,0.3393960910650232,0.8374105437291344,0.1860645787022299,6.580504825115277,5,0.9009670453219192,0.40295259265780803,0.9009670453219192,JUMP-CP_CRISPR
F11,0.8831546613718915,0.43849966737154156,0.8831546613718915,0.05748412421309978,4.608561962146266,5,0.9276655436631245,0.48301054966277457,0.9276655436631245,JUMP-CP_CRISPR
F11R,0.9013575646693524,0.3941634154203475,0.9013575646693524,0.1758571072805795,6.048760008565344,5,0.9597783143436787,0.4525841650946738,0.9597783143436787,JUMP-CP_CRISPR
F12,0.8412538430384788,0.542381187692175,0.8201671262724194,0.05648525201553985,4.017430835125138,7,0.880055402501975,0.5811827471556712,0.8589686857359156,JUMP-CP_CRISPR
F13A1,0.7644408483691005,0.33268909025213333,0.7644408483691005,0.1682951400224218,7.188615125450869,5,0.833870662769796,0.40211890465282885,0.833870662769796,JUMP-CP_CRISPR
F13B,0.9943393304571141,0.40918469426671045,0.9943393304571141,0.20643892016635118,4.892654730209485,5,1.0415940664413033,0.4564394302508996,1.0415940664413033,JUMP-CP_CRISPR
F2,0.7490807098636025,0.4896026454073019,0.7378985733786686,0.12257858055175515,6.645941235270192,7,0.813269216054327,0.5537911515980264,0.8020870795693931,JUMP-CP_CRISPR
F2R,0.8727152521516318,0.36358929915712657,0.8727152521516318,0.2310116689169835,5.247950095891629,5,0.9234015380054756,0.4142755850109704,0.9234015380054756,JUMP-CP_CRISPR
F2RL1,0.9277395037129347,0.4303970970623323,0.9277395037129347,0.1492649975197765,4.775531926218262,5,0.9738630323085951,0.4765206256579927,0.9738630323085951,JUMP-CP_CRISPR
F2RL2,0.8762698472759847,0.4622028645510161,0.8762698472759847,0.2133210062497598,5.903651475454119,5,0.9332890949438675,0.5192221122188989,0.9332890949438675,JUMP-CP_CRISPR
F2RL3,0.9055817055121104,0.37726553507516936,0.9055817055121104,0.1818520399264229,5.376174560876487,5,0.9575064219468331,0.4291902515098921,0.9575064219468331,JUMP-CP_CRISPR
F3,0.9624842403251833,0.36743453098820233,0.9624842403251833,0.05486902754249773,4.655896850894825,5,1.0074522972575868,0.4124025879206057,1.0074522972575868,JUMP-CP_CRISPR
F5,0.8657659832266307,0.35459881738646815,0.8657659832266307,0.09046634906986815,5.033098585113817,5,0.9143771683473445,0.403210002507182,0.9143771683473445,JUMP-CP_CRISPR
F7,0.9308119481470757,0.44151298617537604,0.9308119481470757,0.22021748501242516,5.049819696689281,5,0.9795846308098053,0.49028566883810565,0.9795846308098053,JUMP-CP_CRISPR
F8,0.8584313262604752,0.3708104323872328,0.8584313262604752,0.05052831633078264,4.237496672912475,5,0.8993583480010396,0.41173745412779716,0.8993583480010396,JUMP-CP_CRISPR
F9,0.9111392072075222,0.37276994167970945,0.9111392072075222,0.11954713668021076,4.705982899151582,5,0.9565910103099241,0.4182217447821114,0.9565910103099241,JUMP-CP_CRISPR
FA2H,0.9927553346229936,0.42575923258468346,0.9927553346229936,0.4652314031562239,5.243549690302119,5,1.0433991200316144,0.47640301799330437,1.0433991200316144,JUMP-CP_CRISPR
FAAH,0.9017347717978157,0.37894296861179744,0.9017347717978157,0.060269915945381926,4.643691849232615,5,0.9465849491407043,0.4237931459546861,0.9465849491407043,JUMP-CP_CRISPR
FAAH2,0.9922139621773939,0.4770918334092695,0.9922139621773939,0.18841698460593778,5.222132070137101,5,1.0426508897466382,0.5275287609785138,1.0426508897466382,JUMP-CP_CRISPR
FABP1,0.8763936446203234,0.36182485735319114,0.8763936446203234,0.0716378352620703,4.526072457998771,5,0.9201078183852244,0.4055390311180921,0.9201078183852244,JUMP-CP_CRISPR
FABP2,0.8564819908450038,0.36114128568163184,0.8564819908450038,0.10569692427561206,5.277720793476666,5,0.9074558110808999,0.412115105917528,0.9074558110808999,JUMP-CP_CRISPR
FABP3,1.0017199006692612,0.6916777627886785,0.9623694260058085,0.1165343982644118,4.762549724733499,7,1.0477180432449624,0.7376759053643797,1.0083675685815097,JUMP-CP_CRISPR
FABP6,1.0171397624827452,0.418816261031261,1.0171397624827452,0.5456866450593786,6.55854355068836,5,1.0804841554592173,0.4821606540077331,1.0804841554592173,JUMP-CP_CRISPR
FABP7,0.9169295335656953,0.4080803816826164,0.9169295335656953,0.09581414964330563,4.879973367837616,5,0.9640617891248705,0.4552126372417916,0.9640617891248705,JUMP-CP_CRISPR
FADD,0.8527398710705525,0.40364617234431255,0.8527398710705525,0.4744582443164868,7.975242720468103,5,0.9297671721875905,0.4806734734613506,0.9297671721875905,JUMP-CP_CRISPR
FADS1,0.7815192639044322,0.3692092798630805,0.7815192639044322,0.1361194517844879,6.266691896108634,5,0.8420448655203451,0.4297348814789934,0.8420448655203451,JUMP-CP_CRISPR
FADS2,0.6611121302651258,0.301610999397638,0.6611121302651258,0.07352354968145032,5.634505673399306,5,0.7155318865487457,0.35603075568125786,0.7155318865487457,JUMP-CP_CRISPR
FADS3,0.8428447677568831,0.3567219814509379,0.8428447677568831,0.23899158049893396,5.650690993585124,5,0.897420846747576,0.41129806044163086,0.897420846747576,JUMP-CP_CRISPR
FADS6,0.9274971803575035,0.39355338530849726,0.9274971803575035,0.542160525783137,8.162941459321441,5,1.006337332541737,0.47239353749273094,1.006337332541737,JUMP-CP_CRISPR
FAH,0.9818124516096253,0.5621700095736312,0.9610453510750434,0.4551469200853477,7.262979158124083,6,1.0519604962808926,0.6323180542448984,1.0311933957463106,JUMP-CP_CRISPR
FAHD1,0.8246536858004526,0.33691895919579884,0.8246536858004526,0.09438235051230322,5.468244351374421,5,0.8774676400584037,0.38973291345374994,0.8774676400584037,JUMP-CP_CRISPR
FAHD2A,0.9079516564286423,0.4628370236154381,0.9079516564286423,0.2672493128611654,6.320514498591062,5,0.9689970929829548,0.5238824601697506,0.9689970929829548,JUMP-CP_CRISPR
FAHD2B,0.9527618382006231,0.6140513953938411,0.9432864249968472,0.26879710455177785,6.572200856116455,7,1.0162381375546852,0.6775276947479032,1.0067627243509092,JUMP-CP_CRISPR
FAM170A,0.8561277396421584,0.35789580881642336,0.8561277396421584,0.17904813278549947,5.116418481182789,5,0.9055436534649935,0.4073117226392585,0.9055436534649935,JUMP-CP_CRISPR
FAM20A,0.9274584583369033,0.3496369402273075,0.9274584583369033,0.23409179999064422,5.50321186479318,5,0.9806101393926243,0.4027886212830285,0.9806101393926243,JUMP-CP_CRISPR
FAM20B,0.9668588003381245,0.42055360132001773,0.9668588003381245,0.05489544068657115,4.550245832967178,5,1.0108064478539784,0.4645012488358715,1.0108064478539784,JUMP-CP_CRISPR
FAM20C,0.9135104879892886,0.42496151638582974,0.9135104879892886,0.06553197686356665,4.335682191008925,5,0.9553858150959502,0.4668368434924914,0.9553858150959502,JUMP-CP_CRISPR
FANCA,0.8972399413791383,0.5737362046788921,0.8755822242038278,0.28317255001656877,5.201454116767466,7,0.9474771550341465,0.6239734183339003,0.925819437858836,JUMP-CP_CRISPR
