broad_id,drug_name,viability_cv,mean_lfc,std_lfc,n_cell_lines
BRD-K00003206-001-01-9,EMIGLITATE,17.849153649706842,0.024148272970711,0.43102623462928336,911
BRD-K00003207-001-01-9,ETHYNYLCYTIDINE,0.45939467447725213,-6.820030706434159,3.1330857863071846,911
BRD-K00003208-001-01-9,IMIRESTAT,40.01228299012445,0.010267647392250813,0.4108320131015529,911
BRD-K00003209-001-01-9,JI-101,2.055337956413707,-0.26050125183975303,0.5354181105995305,916
BRD-K00003210-001-01-9,OSILODROSTAT,5.174291545396771,0.0904867377035449,0.46820476186998755,917
BRD-K00003211-001-01-9,LURBINECTEDIN,0.26579307661798685,-5.665384453750203,1.5058199641859793,916
BRD-K00003212-001-01-9,OMTRIPTOLIDE,0.4763390551548497,-6.225964470186703,2.9656700331563988,917
BRD-K00003214-001-01-9,SAPACITABINE,0.4928704745323509,-3.5574853736424483,1.7533795042490512,917
BRD-K00003215-043-01-9,SQUALAMINE,1.3735126583152326,-0.36006427021415593,0.4945528329461795,917
BRD-K00003216-001-01-9,RELUGOLIX,4.771869916412279,-0.09074036336134038,0.4330012101282991,917
BRD-K00003217-304-01-9,TRANSCROCETINATE,6.394189654441631,-0.0735353478427002,0.4701989604115603,911
BRD-K00003218-001-01-9,UPAMOSTAT,0.8253451062644134,-0.9722785497715087,0.8024653429797756,917
BRD-K00003221-001-01-9,BASMISANIL,11.50262893957188,-0.03696907432563036,0.4252415442071795,917
BRD-K00003222-001-01-9,TRADIPITANT,0.543416477992826,-4.019055171698314,2.1840208062631503,917
BRD-K00003223-003-01-9,AMISELIMOD,0.319231826617089,-8.476937757965564,2.7061083245947177,911
BRD-K00003224-001-01-9,AVORALSTAT,3.9089278186633503,-0.11535212944063303,0.4509031477125461,917
BRD-K00003225-003-01-9,ELECLAZINE,4.86602007443284,-0.08892842862720121,0.43272751888772915,917
BRD-K00003226-001-01-9,EMERAMIDE,2.058917800818607,0.23024244386770323,0.4740502661831931,911
BRD-K00003227-001-01-9,RALINEPAG,2.8909466348681017,-0.1620881907196146,0.4685883095127289,917
BRD-K00003228-001-01-9,SELETALISIB,1.259601872888692,-0.37194128559506534,0.4684979399401722,917
BRD-K00003230-001-01-9,ASAPIPRANT,8.866946292079822,-0.052040605258213614,0.46144125183190693,917
BRD-K00003232-001-01-9,FEVIPIPRANT,2.0088892808214953,-0.22018359096956877,0.44232445571155127,916
BRD-K00003233-001-01-9,VALBENAZINE,3.481214369445696,-0.13676411952271036,0.4761052181070479,917
BRD-K00003234-001-01-9,VERICIGUAT,4.624548219243658,-0.0929231078585023,0.42972739297362317,916
BRD-K00003235-001-01-9,VELEDIMEX,2.288670994914032,-0.20977321099782287,0.4801018635206984,917
BRD-K00003236-001-01-9,FIRSOCOSTAT,0.56389994363182,-3.845140026748123,2.1682742443397216,917
BRD-K00003237-001-01-9,MAVATREP,0.9963849552018621,-0.6909402673223106,0.6884424873031031,917
BRD-K00003238-001-01-9,SITRAVATINIB,1.260077847915214,-0.6575587624879681,0.8285752303136301,917
BRD-K00003239-001-01-9,FLURALANER,2.709639585062563,-0.18575619140960042,0.5033323294139117,917
BRD-K00003240-300-01-9,ERAVACYCLINE,0.7892614712558059,-1.3363519033597138,1.0547310693611842,916
BRD-K00003242-001-01-9,SANCYCLINE,29.954301870296714,0.013937009008819489,0.41747337501922377,916
BRD-K00003243-236-01-9,PANTOPRAZOLE,2.166745681160042,0.18394813547719344,0.39856882810265115,911
BRD-K00003244-001-01-9,AMCASERTIB,1.4689609728450674,-0.41485330090761335,0.6094033084892352,916
BRD-K00003245-001-01-9,BELIZATINIB,1.0658451858621247,-0.8203955779892392,0.874414677302406,917
BRD-K00003246-001-01-9,BEXAGLIFLOZIN,1.5589229817929287,-0.2563611755218699,0.39964732816049375,916
BRD-K00003247-001-01-9,BICTEGRAVIR,13.318474611458395,-0.03278217492651215,0.43660856446714,917
BRD-K00003248-001-01-9,CENERIMOD,36.7898595075768,-0.012055026647330307,0.4435027367153766,916
BRD-K00003249-001-01-9,CENOBAMATE,4.528615469622393,-0.09184582339626152,0.41593441665251624,917
BRD-K00003250-001-01-9,EVOCALCET,24.433932009810647,-0.017875414000334638,0.4367666503313939,916
BRD-K00003251-001-01-9,PEMAFIBRATE,5.44841428523216,0.10787190655660482,0.5877308366582344,916
BRD-K00003252-001-01-9,SACUBITRILAT,2.3960468637891488,-0.1927874542477644,0.46192777512824984,917
BRD-K00003253-001-01-9,SPARSENTAN,28.334252240055196,0.014338824598509069,0.40627987300006413,917
BRD-K00003255-001-01-9,ACEBILUSTAT,21.63996851835763,-0.02930639578381479,0.6341894821482809,916
BRD-K00003256-001-01-9,AVACOPAN,4.8432089292894,0.08389444789708435,0.4063183391729632,916
BRD-K00003257-001-01-9,CEFIDEROCOL,4.741677285563752,-0.08717978309360831,0.41337839725533737,917
BRD-K00003258-001-01-9,EDASALONEXENT,10.514065855544406,-0.04017116535838045,0.4223622780719761,916
BRD-K00003259-050-01-9,EDONERPIC-MALEATE,10.616846333250107,-0.04025678489809424,0.42740009913377014,916
