drug,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
Sinomenine,0.9352571923812332,0.9029169334672763,0.9276719307420306,0.32238431532698336,77.20995662958957,49,0.925412740077426,0.8930724811634692,0.9178274784382234,Tahoe-100M
Sodium Salicylate,0.7732559042810639,0.7256674431733994,0.7908121895211735,0.45767809899670475,47.89255222582366,50,0.7671494904624861,0.7195610293548216,0.7847057757025957,Tahoe-100M
Sulfisoxazole,0.8762798481659448,0.8386220393867255,0.8775088331725209,0.43585524079329724,62.87788261596075,50,0.868262769237293,0.8306049604580736,0.869491754243869,Tahoe-100M
Temsirolimus,0.9136361872536103,0.878972770305459,0.9092102762114332,0.30564903606067073,90.6602735551635,49,0.9020767876913798,0.8674133707432284,0.8976508766492027,Tahoe-100M
Terfenadine,0.887606679355712,0.8496359282156695,0.8887530639241656,0.4342052212293915,57.095017049975525,50,0.8803269294805757,0.8423561783405331,0.8814733140490293,Tahoe-100M
Thymol,0.8867578719048987,0.8495083549868929,0.8863925009918868,0.3024896350146183,86.75408337317167,49,0.8756965208407486,0.8384470039227427,0.8753311499277366,Tahoe-100M
Tofacitinib,0.8576459853931928,0.8159908282295585,0.8627333761662287,0.4266798863606859,58.23859042963468,50,0.8502204272041628,0.8085652700405285,0.8553078179771987,Tahoe-100M
Tofacitinib (citrate),0.9192507449604529,0.8867541655694623,0.9124196479555657,0.29059409900592886,96.48555538743078,49,0.906948608170314,0.8744520287793234,0.9001175111654268,Tahoe-100M
Tolcapone,0.9282210768038008,0.8957171686972127,0.9217588690289622,0.2885731714905311,96.37136917719143,49,0.9159334990258609,0.8834295909192728,0.9094712912510222,Tahoe-100M
Triamcinolone,0.8169626475335459,0.7708537536078369,0.8288654476945179,0.4370464705165404,58.9802115525926,50,0.8094425308951765,0.7633336369694675,0.8213453310561485,Tahoe-100M
Triclosan,0.8865880156932876,0.849151654368039,0.8859531031569491,0.4475089873278474,62.526735212234136,50,0.8786157088901295,0.8411793475648809,0.877980796353791,Tahoe-100M
Trifluridine,0.9426653965382199,0.9121256586923419,0.9336936032899623,0.285547829823244,100.44192599624803,49,0.9298588131267528,0.8993190752808747,0.9208870198784952,Tahoe-100M
Trimetrexate,0.8899706414567434,0.8535885191963973,0.8903305663951242,0.4411884149334987,64.2187038467814,50,0.881782604646091,0.845400482385745,0.8821425295844718,Tahoe-100M
Tucidinostat,0.6841125568657592,0.6288976967058146,0.7114306760010887,0.32870538234583113,60.823059288883506,50,0.6763574727771408,0.6211426126171962,0.7036755919124702,Tahoe-100M
Vilanterol,0.8819068983754811,0.8415133158847706,0.8857267713392195,0.48454862203100363,46.95718206814925,50,0.8759197464669677,0.8355261639762572,0.8797396194307061,Tahoe-100M
Vinblastine (sulfate),0.8485349584942765,0.8043268635727473,0.8537540658713576,0.45935214113615097,50.2242105996671,50,0.8421312527116559,0.7979231577901267,0.847350360088737,Tahoe-100M
(S)-Crizotinib,0.8704090627300286,0.8321929580364338,0.8716227013016974,0.3637811103356637,72.19928427503946,49,0.8612034830167219,0.8229873783231271,0.8624171215883907,Tahoe-100M
Almonertinib (mesylate),0.9036240211513803,0.8692952680922855,0.8988561003733295,0.3817116402429542,73.82197937547018,50,0.8942115439702192,0.8598827909111244,0.8894436231921684,Tahoe-100M
Altretamine,0.9482369351663266,0.9162512743412271,0.937594819708598,0.27079224374570404,96.25738795877702,48,0.9359638902636425,0.903978229438543,0.9253217748059139,Tahoe-100M
Apalutamide,0.852452729422696,0.8123486798235895,0.8586275205688215,0.39871939369105863,58.33849687020613,49,0.8450144329259143,0.8049103833268078,0.8511892240720398,Tahoe-100M
Arbutin,0.9246590460408227,0.8909643001760513,0.9166441218388116,0.2552691873724384,99.8710689652786,48,0.9119252482525964,0.878230502387825,0.9039103240505852,Tahoe-100M
Belumosudil,0.8760721018635922,0.8374378851746171,0.8800579067029947,0.4176305150874922,67.63686264386428,50,0.8674482417120959,0.8288140250231208,0.8714340465514984,Tahoe-100M
Bendamustine,0.9450653951769785,0.9137597474127975,0.9349067531964269,0.23068367263733075,107.72329881071532,48,0.9313304194893424,0.9000247717251614,0.9211717775087908,Tahoe-100M
Benproperine (phosphate),0.8560547897224523,0.8118167009193461,0.8643304310995191,0.5224273015344385,48.40119924938003,50,0.8498835222038926,0.8056454334007864,0.8581591635809594,Tahoe-100M
Berbamine (dihydrochloride),0.8879405198841483,0.8544480585062504,0.8865729312770202,0.35566750104011935,79.66410442771665,50,0.8777831579246467,0.8442906965467487,0.8764155693175185,Tahoe-100M
Bestatin,0.8341502042435479,0.790383310795428,0.8429225198158584,0.37791554402562144,64.56154804708001,49,0.8259184539855008,0.7821515605373809,0.8346907695578113,Tahoe-100M
Betamethasone dipropionate,0.8519099069282551,0.8056769096105629,0.8593556990910005,0.3737034358740169,64.42696730744785,49,0.8436953160331988,0.7974623187155067,0.8511411081959442,Tahoe-100M
Bisoprolol (hemifumarate),0.8498255767927887,0.809034894891705,0.8504593104637233,0.244273358753558,92.65305570672804,48,0.8380120927873163,0.7972214108862326,0.8386458264582508,Tahoe-100M
Bosentan (hydrate),0.8521256919733158,0.811504507249144,0.857450000341184,0.2955024469048207,75.88306450121429,49,0.8424504215579631,0.8018292368337914,0.8477747299258314,Tahoe-100M
Canagliflozin,0.8574064114237732,0.8171261249730755,0.8627091784685191,0.45603415181276197,54.220935648732485,50,0.8504931137331333,0.8102128272824356,0.8557958807778793,Tahoe-100M
Cilostazol,0.7195194923678833,0.660858870447638,0.7479929674769082,0.4625437210854198,50.98069479125209,50,0.7130193330594775,0.6543587111392323,0.7414928081685025,Tahoe-100M
Clofarabine,0.8589601804005318,0.8173735647587677,0.8626576268164533,0.41162256891980875,52.864602090808475,49,0.8522198184503313,0.8106332028085672,0.8559172648662529,Tahoe-100M
Cobimetinib,0.8340356721527971,0.7941439027313655,0.8381965138629343,0.18139548082806353,113.71782044755656,48,0.8195363807614087,0.7796446113399771,0.8236972224715459,Tahoe-100M
Cytarabine,0.8812373348310356,0.8400337441544952,0.8828322373163046,0.6197302948630199,40.71143761340182,50,0.8760465301304543,0.8348429394539139,0.8776414326157232,Tahoe-100M
